date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-03-11,7:57am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.6%
2015-03-11,8:00am,GBP,MPC Member Weale Speaks,Medium,,,
2015-03-12,2:30am,GBP,Goods Trade Balance,Medium,-8.4B,-9.7B,-9.9B
2015-03-12,5:45am,GBP,BOE Gov Carney Speaks,High,,,
2015-03-13,2:00am,GBP,MPC Member Shafik Speaks,Medium,,,
2015-03-13,8:15am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-03-18,2:30am,GBP,Average Earnings Index 3m/y,High,1.8%,2.2%,2.1%
2015-03-18,2:30am,GBP,Claimant Count Change,High,-31.0K,-30.6K,-39.4K
2015-03-18,2:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-03-18,2:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-03-18,2:30am,GBP,Unemployment Rate,Medium,5.7%,5.6%,5.7%
2015-03-18,5:30am,GBP,Annual Budget Release,High,,,
2015-03-20,2:30am,GBP,Public Sector Net Borrowing,Medium,6.2B,7.7B,-8.9B
2015-03-23,4:00am,GBP,CBI Industrial Order Expectations,Medium,0,9,10
2015-03-24,2:30am,GBP,CPI y/y,High,0.0%,0.1%,0.3%
2015-03-24,2:30am,GBP,PPI Input m/m,Medium,0.2%,1.6%,-3.6%
2015-03-24,2:30am,GBP,RPI y/y,Medium,1.0%,0.9%,1.1%
2015-03-26,2:30am,GBP,Retail Sales m/m,High,0.7%,0.4%,0.1%
2015-03-26,2:30am,GBP,FPC Statement,Medium,,,
2015-03-26,4:00am,GBP,CBI Realized Sales,Medium,18,16,1
2015-03-26,10:30am,GBP,BOE Gov Carney Speaks,Medium,,,
2015-03-27,12:00am,GBP,Nationwide HPI m/m,Medium,0.1%,0.2%,-0.1%
2015-03-27,1:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-03-27,1:45am,GBP,BOE Gov Carney Speaks,Medium,,,
2015-03-27,2:15am,GBP,MPC Member Broadbent Speaks,Medium,,,
2015-03-30,1:30am,GBP,Net Lending to Individuals m/m,Medium,2.5B,2.5B,2.4B
2015-03-31,1:30am,GBP,Current Account,High,-25.3B,-21.2B,-27.7B
2015-03-31,1:30am,GBP,Final GDP q/q,Medium,0.6%,0.5%,0.5%
2015-04-01,1:30am,GBP,Final Manufacturing PMI,High,54.4,54.5,54.0
2015-04-02,1:30am,GBP,Construction PMI,High,57.8,59.7,60.1
2015-04-14,1:30am,GBP,CPI y/y,High,0.0%,0.0%,0.0%
2015-04-14,1:30am,GBP,PPI Input m/m,Medium,0.3%,-0.5%,0.1%
2015-04-14,1:30am,GBP,RPI y/y,Medium,0.9%,1.0%,1.0%
2015-04-17,1:30am,GBP,Average Earnings Index 3m/y,High,1.7%,1.8%,1.9%
2015-04-17,1:30am,GBP,Claimant Count Change,High,-20.7K,-29.1K,-29.1K
2015-04-17,1:30am,GBP,Unemployment Rate,Medium,5.6%,5.6%,5.7%
2015-04-07,1:30am,GBP,Final Services PMI,High,58.9,57.1,56.7
2015-04-08,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2015-04-08,11:59pm,GBP,Halifax HPI m/m,Medium,0.4%,0.1%,-0.4%
2015-04-09,1:30am,GBP,Goods Trade Balance,Medium,-10.3B,-8.9B,-9.2B
2015-04-09,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-04-09,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-04-10,1:30am,GBP,Manufacturing Production m/m,High,0.4%,0.4%,-0.6%
