date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-11-17,1:30am,GBP,PPI Input m/m,Medium,0.2%,0.2%,0.5%
2015-11-17,1:30am,GBP,RPI y/y,Medium,0.7%,0.9%,0.8%
2015-11-19,1:30am,GBP,Retail Sales m/m,High,-0.6%,-0.4%,1.7%
2015-11-20,1:30am,GBP,Public Sector Net Borrowing,Medium,7.5B,5.5B,8.3B
2015-11-24,2:00am,GBP,Monetary Policy Report Hearings,High,,,
2015-11-25,4:30am,GBP,Autumn Forecast Statement,Medium,,,
2015-11-27,1:30am,GBP,Second Estimate GDP q/q,High,0.5%,0.5%,0.5%
2015-11-27,1:30am,GBP,Prelim Business Investment q/q,Medium,2.2%,1.5%,1.6%
2015-11-30,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.8B,4.8B,4.9B
2015-11-30,11:00pm,GBP,Bank Stress Test Results,High,,,
2015-11-30,11:00pm,GBP,BOE Financial Stability Report,Medium,,,
2015-12-01,12:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-12-01,1:30am,GBP,Final Manufacturing PMI,High,52.7,53.7,55.2
2015-12-02,1:30am,GBP,Construction PMI,High,55.3,58.4,58.8
2015-12-03,1:30am,GBP,Final Services PMI,High,55.9,55.1,54.9
2015-12-07,7:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-12-08,12:00am,GBP,Halifax HPI m/m,Medium,-0.2%,0.3%,1.1%
2015-12-08,1:30am,GBP,Manufacturing Production m/m,High,-0.4%,-0.1%,0.9%
2015-12-08,6:58am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.5%
2015-12-10,1:30am,GBP,Goods Trade Balance,Medium,-11.8B,-9.8B,-8.8B
2015-12-10,4:00am,GBP,Monetary Policy Summary,High,,,
2015-12-10,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,1-0-8,1-0-8
2015-12-10,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-12-10,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-12-10,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-12-10,10:30am,GBP,BOE Gov Carney Speaks,Medium,,,
2015-12-11,7:35am,GBP,MPC Member Weale Speaks,Medium,,,
2015-12-22,1:30am,GBP,Public Sector Net Borrowing,Medium,13.6B,11.9B,6.7B
2015-12-23,1:30am,GBP,Current Account,High,-17.5B,-21.3B,-17.5B
2015-12-23,1:30am,GBP,Final GDP q/q,Medium,0.4%,0.5%,0.5%
2015-12-14,4:00am,GBP,MPC Member Shafik Speaks,Medium,,,
2015-12-15,1:30am,GBP,CPI y/y,High,0.1%,0.1%,-0.1%
2015-12-15,1:30am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-12-15,1:30am,GBP,PPI Input m/m,Medium,-1.6%,-1.0%,0.0%
2015-12-15,1:30am,GBP,RPI y/y,Medium,1.1%,0.9%,0.7%
2015-12-16,1:30am,GBP,Average Earnings Index 3m/y,High,2.4%,2.5%,3.0%
2015-12-16,1:30am,GBP,Claimant Count Change,High,3.9K,0.9K,0.2K
2015-12-16,1:30am,GBP,Unemployment Rate,Medium,5.2%,5.3%,5.3%
2015-12-17,1:30am,GBP,Retail Sales m/m,High,1.7%,0.6%,-0.5%
2016-01-04,1:30am,GBP,Final Manufacturing PMI,High,51.9,52.8,52.5
2016-01-04,1:30am,GBP,Net Lending to Individuals m/m,Medium,5.3B,4.9B,4.8B
2016-01-05,1:30am,GBP,Construction PMI,High,57.8,56.1,55.3
2016-01-06,1:30am,GBP,Final Services PMI,High,55.5,55.6,55.9
2016-01-07,12:00am,GBP,Halifax HPI m/m,Medium,1.7%,0.5%,0.0%
2016-01-08,1:30am,GBP,Goods Trade Balance,Medium,-10.6B,-10.5B,-11.2B
2016-01-12,1:30am,GBP,Manufacturing Production m/m,High,-0.4%,0.1%,-0.4%
2016-01-12,6:15am,GBP,BOE Gov Carney Speaks,High,,,
2016-01-14,4:00am,GBP,Monetary Policy Summary,High,,,
2016-01-14,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,1-0-8,1-0-8
2016-01-14,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-01-14,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-01-14,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-01-15,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2016-01-19,1:30am,GBP,CPI y/y,High,0.2%,0.1%,0.1%
2016-01-19,1:30am,GBP,PPI Input m/m,Medium,-0.8%,-1.4%,-1.6%
2016-01-19,1:30am,GBP,RPI y/y,Medium,1.2%,1.0%,1.1%
2016-01-19,4:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-01-20,1:30am,GBP,Average Earnings Index 3m/y,High,2.0%,2.1%,2.4%
2016-01-20,1:30am,GBP,Claimant Count Change,High,-4.3K,4.1K,-2.2K
2016-01-20,1:30am,GBP,Unemployment Rate,Medium,5.1%,5.2%,5.2%
2016-01-22,1:30am,GBP,Retail Sales m/m,High,-1.0%,-0.1%,1.3%
2016-01-22,1:30am,GBP,Public Sector Net Borrowing,Medium,6.9B,10.1B,12.9B
2016-01-22,4:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-02-01,1:30am,GBP,Final Manufacturing PMI,High,52.9,51.8,52.1
2016-02-01,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.4B,4.9B,5.2B
2016-02-02,1:30am,GBP,Construction PMI,High,55.0,57.6,57.8
2016-02-03,1:30am,GBP,Final Services PMI,High,55.6,55.4,55.5
2016-02-04,12:30am,GBP,Halifax HPI m/m,Medium,1.7%,0.2%,2.0%
2016-02-04,4:00am,GBP,BOE Monetary Policy Report,High,,,
2016-02-04,4:00am,GBP,Monetary Policy Summary,High,,,
2016-02-04,4:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,1-0-8,1-0-8
2016-02-04,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-02-04,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-02-04,4:00am,GBP,BOE Inflation Letter,Medium,,,
2016-02-04,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-02-04,4:30am,GBP,BOE Gov Carney Speaks,High,,,
2016-01-26,2:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-01-27,11:30am,GBP,MPC Member Shafik Speaks,Medium,,,
2016-01-28,1:30am,GBP,Prelim GDP q/q,High,0.5%,0.5%,0.4%
2016-02-16,1:30am,GBP,CPI y/y,High,0.3%,0.3%,0.2%
2016-02-16,1:30am,GBP,PPI Input m/m,Medium,-0.7%,-1.2%,-0.3%
2016-02-16,1:30am,GBP,RPI y/y,Medium,1.3%,1.4%,1.2%
2016-02-17,1:30am,GBP,Average Earnings Index 3m/y,High,1.9%,1.9%,2.1%
2016-02-17,1:30am,GBP,Claimant Count Change,High,-14.8K,-2.9K,-15.2K
2016-02-17,1:30am,GBP,Unemployment Rate,Medium,5.1%,5.0%,5.1%
2016-02-18,12:55am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-02-19,1:30am,GBP,Retail Sales m/m,High,2.3%,0.8%,-1.4%
2016-02-19,1:30am,GBP,Public Sector Net Borrowing,Medium,-11.8B,-13.8B,7.5B
2016-02-09,1:30am,GBP,Goods Trade Balance,Medium,-9.9B,-10.4B,-11.5B
2016-02-09,1:30am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-02-10,1:30am,GBP,Manufacturing Production m/m,High,-0.2%,0.0%,-0.3%
2016-02-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,5.3B,5.2B,4.3B
2016-03-01,1:30am,GBP,Final Manufacturing PMI,High,50.8,52.3,52.9
2016-03-02,1:30am,GBP,Construction PMI,High,54.2,55.5,55.0
2016-03-02,2:00am,GBP,MPC Member Broadbent Speaks,Medium,,,
2016-03-02,6:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-03-03,12:30am,GBP,Halifax HPI m/m,Medium,-1.4%,0.1%,1.7%
2016-03-03,1:30am,GBP,Final Services PMI,High,52.7,55.1,55.6
2016-03-03,9:45am,GBP,MPC Member Haldane Speaks,Medium,,,
2016-02-23,2:00am,GBP,Monetary Policy Report Hearings,High,,,
2016-02-23,9:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2016-02-24,10:10am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-02-25,1:30am,GBP,Second Estimate GDP q/q,High,0.5%,0.5%,0.5%
2016-02-25,1:30am,GBP,Prelim Business Investment q/q,Medium,-2.1%,0.6%,2.2%
2016-02-25,7:15pm,GBP,BOE Gov Carney Speaks,High,,,
2016-03-16,2:30am,GBP,Average Earnings Index 3m/y,High,2.1%,2.0%,1.9%
2016-03-16,2:30am,GBP,Claimant Count Change,High,-18.0K,-8.8K,-28.4K
2016-03-16,2:30am,GBP,Unemployment Rate,Medium,5.1%,5.1%,5.1%
2016-03-16,5:30am,GBP,Annual Budget Release,High,,,
2016-03-17,5:00am,GBP,Monetary Policy Summary,High,,,
2016-03-17,5:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2016-03-17,5:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-03-17,5:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-03-17,5:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-03-07,1:10am,GBP,MPC Member Haldane Speaks,Medium,,,
2016-03-08,1:15am,GBP,BOE Gov Carney Speaks,High,,,
2016-03-08,9:00am,GBP,MPC Member Weale Speaks,Medium,,,
2016-03-09,1:30am,GBP,Manufacturing Production m/m,High,0.7%,0.2%,-0.3%
2016-03-11,1:30am,GBP,Goods Trade Balance,Medium,-10.3B,-10.3B,-9.9B
2016-03-22,2:30am,GBP,CPI y/y,High,0.3%,0.4%,0.3%
2016-03-22,2:30am,GBP,PPI Input m/m,Medium,0.1%,0.4%,-1.1%
2016-03-22,2:30am,GBP,Public Sector Net Borrowing,Medium,6.5B,5.4B,-14.4B
2016-03-22,2:30am,GBP,RPI y/y,Medium,1.3%,1.3%,1.3%
2016-03-22,6:30am,GBP,MPC Member Forbes Speaks,Medium,,,
2016-03-24,2:30am,GBP,Retail Sales m/m,High,-0.4%,-0.7%,2.3%
2016-03-31,12:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-03-31,1:30am,GBP,Current Account,High,-32.7B,-21.1B,-20.1B
2016-03-31,1:30am,GBP,Final GDP q/q,Medium,0.6%,0.5%,0.5%
2016-03-31,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.9B,5.1B,5.4B
2016-04-01,1:30am,GBP,Final Manufacturing PMI,High,51.0,51.4,50.8
2016-04-12,1:30am,GBP,CPI y/y,High,0.5%,0.3%,0.3%
2016-04-12,1:30am,GBP,PPI Input m/m,Medium,2.0%,2.4%,0.1%
2016-04-12,1:30am,GBP,RPI y/y,Medium,1.6%,1.4%,1.3%
2016-04-13,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2016-04-14,4:00am,GBP,Monetary Policy Summary,High,,,
2016-04-14,4:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2016-04-14,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-04-14,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-04-14,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-04-14,1:00pm,GBP,MPC Member Shafik Speaks,Medium,,,
2016-04-04,1:30am,GBP,Construction PMI,High,54.2,54.3,54.2
2016-04-05,1:30am,GBP,Final Services PMI,High,53.7,53.9,52.7
2016-04-07,12:30am,GBP,Halifax HPI m/m,Medium,2.6%,0.8%,-1.5%
2016-04-08,1:30am,GBP,Manufacturing Production m/m,High,-1.1%,-0.2%,0.5%
2016-04-08,1:30am,GBP,Goods Trade Balance,Medium,-12.0B,-10.3B,-12.2B
2016-04-26,10:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-04-27,1:30am,GBP,Prelim GDP q/q,High,0.4%,0.4%,0.6%
2016-04-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,9.3B,5.0B,5.0B
2016-04-29,5:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-04-19,7:35am,GBP,BOE Gov Carney Speaks,High,,,
2016-04-20,1:30am,GBP,Average Earnings Index 3m/y,High,1.8%,2.1%,2.1%
2016-04-20,1:30am,GBP,Claimant Count Change,High,6.7K,-11.9K,-9.3K
2016-04-20,1:30am,GBP,Unemployment Rate,Medium,5.1%,5.1%,5.1%
2016-04-20,6:00am,GBP,MPC Member McCafferty Speaks,Medium,,,
2016-04-21,1:30am,GBP,Retail Sales m/m,High,-1.3%,-0.1%,-0.5%
2016-04-21,1:30am,GBP,Public Sector Net Borrowing,Medium,4.2B,5.6B,6.3B
2016-04-21,7:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-05-03,1:30am,GBP,Final Manufacturing PMI,High,49.2,51.3,50.7
2016-05-04,1:30am,GBP,Construction PMI,High,52.0,54.1,54.2
2016-05-05,1:30am,GBP,Final Services PMI,High,52.3,53.6,53.7
2016-05-09,12:30am,GBP,Halifax HPI m/m,Medium,-0.8%,0.1%,2.2%
2016-05-10,1:30am,GBP,Goods Trade Balance,Medium,-11.2B,-11.2B,-11.4B
2016-05-11,1:30am,GBP,Manufacturing Production m/m,High,0.1%,0.4%,-0.9%
2016-05-12,4:00am,GBP,BOE Monetary Policy Report,High,,,
2016-05-12,4:00am,GBP,Monetary Policy Summary,High,,,
2016-05-12,4:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2016-05-12,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-05-12,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-05-12,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-05-12,4:30am,GBP,BOE Gov Carney Speaks,High,,,
2016-05-13,2:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2016-05-13,5:30am,GBP,MPC Member Weale Speaks,Medium,,,
2016-05-17,1:30am,GBP,CPI y/y,High,0.3%,0.5%,0.5%
2016-05-17,1:30am,GBP,PPI Input m/m,Medium,0.9%,1.1%,2.2%
2016-05-17,1:30am,GBP,RPI y/y,Medium,1.3%,1.6%,1.6%
2016-05-18,1:30am,GBP,Average Earnings Index 3m/y,High,2.0%,1.7%,1.9%
2016-05-18,1:30am,GBP,Claimant Count Change,High,-2.4K,4.0K,14.7K
2016-05-18,1:30am,GBP,Unemployment Rate,Medium,5.1%,5.1%,5.1%
2016-05-18,12:00pm,GBP,MPC Member Haldane Speaks,Medium,,,
2016-05-19,1:30am,GBP,Retail Sales m/m,High,1.3%,0.6%,-0.5%
2016-05-19,10:00am,GBP,MPC Member Vlieghe Speaks,Medium,,,
2016-05-24,1:30am,GBP,Public Sector Net Borrowing,Medium,6.6B,6.3B,6.1B
2016-05-24,2:00am,GBP,Monetary Policy Report Hearings,High,,,
2016-05-26,1:30am,GBP,Second Estimate GDP q/q,High,0.4%,0.4%,0.4%
2016-05-26,1:30am,GBP,Prelim Business Investment q/q,Medium,-0.5%,3.2%,-2.0%
2016-06-01,1:30am,GBP,Final Manufacturing PMI,High,50.1,49.6,49.4
2016-06-01,1:30am,GBP,Net Lending to Individuals m/m,Medium,1.6B,5.3B,9.2B
2016-06-02,1:30am,GBP,Construction PMI,High,51.2,51.9,52.0
2016-06-02,6:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-06-03,1:30am,GBP,Final Services PMI,High,53.5,52.5,52.3
2016-06-07,12:30am,GBP,Halifax HPI m/m,Medium,0.6%,0.3%,-0.8%
2016-06-08,1:30am,GBP,Manufacturing Production m/m,High,2.3%,0.0%,0.1%
2016-06-09,1:30am,GBP,Goods Trade Balance,Medium,-10.5B,-11.1B,-10.6B
2016-06-14,1:30am,GBP,CPI y/y,High,0.3%,0.4%,0.3%
2016-06-14,1:30am,GBP,PPI Input m/m,Medium,2.6%,0.9%,0.9%
2016-06-14,1:30am,GBP,RPI y/y,Medium,1.4%,1.5%,1.3%
2016-06-15,1:30am,GBP,Average Earnings Index 3m/y,High,2.0%,1.7%,2.0%
2016-06-15,1:30am,GBP,Claimant Count Change,High,-0.4K,-0.1K,6.4K
2016-06-15,1:30am,GBP,Unemployment Rate,Medium,5.0%,5.1%,5.1%
2016-06-16,1:30am,GBP,Retail Sales m/m,High,0.9%,0.3%,1.9%
2016-06-16,4:00am,GBP,Monetary Policy Summary,High,,,
2016-06-16,4:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2016-06-16,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2016-06-16,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-06-16,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-06-21,1:30am,GBP,Public Sector Net Borrowing,Medium,9.1B,9.5B,7.6B
2016-06-23,All Day,GBP,EU Membership Vote,High,Leave,,
2016-06-24,12:46am,GBP,BOE Gov Carney Speaks,High,,,
2016-06-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.3B,2.9B,1.6B
2016-06-30,1:30am,GBP,Current Account,High,-32.6B,-27.3B,-34.0B
2016-06-30,1:30am,GBP,Final GDP q/q,High,0.4%,0.4%,0.4%
2016-06-30,8:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-07-01,1:30am,GBP,Final Manufacturing PMI,High,52.1,50.0,50.4
2016-07-04,1:30am,GBP,Construction PMI,High,46.0,50.6,51.2
2016-07-05,1:30am,GBP,Final Services PMI,High,52.3,53.1,53.5
2016-07-05,2:30am,GBP,BOE Financial Stability Report,Medium,,,
2016-07-05,3:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-07-07,12:30am,GBP,Halifax HPI m/m,Medium,1.3%,0.4%,0.9%
2016-07-07,1:30am,GBP,Manufacturing Production m/m,High,-0.5%,-1.2%,2.4%
2016-07-08,1:30am,GBP,Goods Trade Balance,Medium,-9.9B,-10.2B,-9.4B
2016-07-12,2:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-07-13,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2016-07-14,4:00am,GBP,Monetary Policy Summary,High,,,
2016-07-14,4:00am,GBP,MPC Official Bank Rate Votes,High,0-1-8,0-9-0,0-0-9
2016-07-14,4:00am,GBP,Official Bank Rate,High,0.50%,0.25%,0.50%
2016-07-14,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2016-07-14,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2016-07-15,5:00am,GBP,BOE Gov Carney Speaks,High,,,
2016-07-18,1:15am,GBP,MPC Member Weale Speaks,High,,,
2016-07-19,1:30am,GBP,CPI y/y,High,0.5%,0.4%,0.3%
2016-07-19,1:30am,GBP,PPI Input m/m,Medium,1.8%,0.9%,2.2%
2016-07-19,1:30am,GBP,RPI y/y,Medium,1.6%,1.4%,1.4%
2016-07-19,7:05am,GBP,MPC Member Broadbent Speaks,Medium,,,
2016-07-20,1:30am,GBP,Average Earnings Index 3m/y,High,2.3%,2.3%,2.0%
2016-07-20,1:30am,GBP,Claimant Count Change,High,0.4K,4.1K,12.2K
2016-07-20,1:30am,GBP,Unemployment Rate,Medium,4.9%,5.0%,5.0%
2016-07-21,1:30am,GBP,Retail Sales m/m,High,-0.9%,-0.4%,0.9%
2016-07-21,1:30am,GBP,Public Sector Net Borrowing,Medium,7.3B,9.3B,9.4B
2016-07-22,1:30am,GBP,Final Manufacturing PMI,High,49.1,47.8,52.1
2016-07-22,1:30am,GBP,Final Services PMI,High,47.4,48.9,52.3
2016-07-27,1:30am,GBP,Prelim GDP q/q,High,0.6%,0.5%,0.4%
2016-07-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,5.2B,4.2B,4.5B
2016-08-01,1:30am,GBP,Final Manufacturing PMI,High,48.2,49.1,49.1
2016-08-02,1:30am,GBP,Construction PMI,High,45.9,44.2,46.0
2016-08-03,1:30am,GBP,Final Services PMI,High,47.4,47.4,47.4
2016-08-04,4:00am,GBP,BOE Monetary Policy Report,High,,,
2016-08-04,4:00am,GBP,Monetary Policy Summary,High,,,
2016-08-04,4:00am,GBP,MPC Official Bank Rate Votes,High,0-9-0,0-9-0,0-1-8
2016-08-04,4:00am,GBP,Official Bank Rate,High,0.25%,0.25%,0.50%
2016-08-04,4:00am,GBP,Asset Purchase Facility,Medium,435B,375B,375B
2016-08-04,4:04am,GBP,MPC Asset Purchase Facility Votes,Medium,6-0-3,0-0-9,0-0-9
2016-08-04,4:30am,GBP,BOE Gov Carney Speaks,High,,,
2016-08-05,12:30am,GBP,Halifax HPI m/m,Medium,-1.0%,-0.1%,1.2%
2016-08-16,1:30am,GBP,CPI y/y,High,0.6%,0.5%,0.5%
2016-08-16,1:30am,GBP,PPI Input m/m,Medium,3.3%,0.6%,1.7%
2016-08-16,1:30am,GBP,RPI y/y,Medium,1.9%,1.7%,1.6%
2016-08-17,1:30am,GBP,Average Earnings Index 3m/y,High,2.4%,2.5%,2.3%
2016-08-17,1:30am,GBP,Claimant Count Change,High,-8.6K,5.2K,0.9K
2016-08-17,1:30am,GBP,Unemployment Rate,Medium,4.9%,4.9%,4.9%
2016-08-18,1:30am,GBP,Retail Sales m/m,High,1.4%,0.1%,-0.9%
2016-08-19,1:30am,GBP,Public Sector Net Borrowing,Medium,-1.5B,-2.3B,7.5B
2016-08-09,1:30am,GBP,Manufacturing Production m/m,High,-0.3%,0.0%,-0.6%
2016-08-09,1:30am,GBP,Goods Trade Balance,Medium,-12.4B,-9.6B,-11.5B
2016-08-26,1:30am,GBP,Second Estimate GDP q/q,High,0.6%,0.6%,0.6%
2016-08-26,1:30am,GBP,Prelim Business Investment q/q,Medium,0.5%,-0.9%,-0.6%
2016-08-26,7:30am,GBP,MPC Member Shafik Speaks,Medium,,,
2016-08-30,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.8B,4.9B,5.1B
2016-09-01,1:30am,GBP,Final Manufacturing PMI,High,53.3,49.1,48.3
2016-09-02,1:30am,GBP,Construction PMI,High,49.2,46.6,45.9
2016-09-05,1:30am,GBP,Final Services PMI,High,52.9,49.1,47.4
2016-09-07,12:30am,GBP,Halifax HPI m/m,Medium,-0.2%,-0.3%,-1.1%
2016-09-07,1:30am,GBP,Manufacturing Production m/m,High,-0.9%,-0.4%,-0.2%
2016-09-07,6:15am,GBP,Monetary Policy Report Hearings,High,,,
2016-09-09,1:30am,GBP,Goods Trade Balance,Medium,-11.8B,-11.7B,-12.9B
2016-09-13,1:30am,GBP,CPI y/y,High,0.6%,0.7%,0.6%
2016-09-13,1:30am,GBP,PPI Input m/m,Medium,0.2%,0.6%,3.1%
2016-09-13,1:30am,GBP,RPI y/y,Medium,1.8%,1.8%,1.9%
2016-09-14,1:30am,GBP,Average Earnings Index 3m/y,High,2.3%,2.1%,2.5%
2016-09-14,1:30am,GBP,Claimant Count Change,High,2.4K,1.7K,-3.6K
2016-09-14,1:30am,GBP,Unemployment Rate,Medium,4.9%,4.9%,4.9%
2016-09-15,1:30am,GBP,Retail Sales m/m,High,-0.2%,-0.4%,1.9%
2016-09-15,4:00am,GBP,Monetary Policy Summary,High,,,
2016-09-15,4:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-9-0
2016-09-15,4:00am,GBP,Official Bank Rate,High,0.25%,0.25%,0.25%
2016-09-15,4:00am,GBP,Asset Purchase Facility,Medium,435B,435B,435B
2016-09-15,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,6-0-3
2016-09-21,1:30am,GBP,Public Sector Net Borrowing,Medium,10.1B,10.5B,-2.4B
2016-09-22,5:00am,GBP,MPC Member Forbes Speaks,Medium,,,
2016-09-22,6:30am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-09-22,10:10am,GBP,BOE Gov Carney Speaks,High,,,
2016-09-28,1:05am,GBP,MPC Member Shafik Speaks,Medium,,,
2016-09-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.5B,4.0B,3.8B
2016-09-29,6:00am,GBP,MPC Member Forbes Speaks,Medium,,,
2016-09-30,1:30am,GBP,Current Account,High,-28.7B,-30.5B,-27.0B
2016-09-30,1:30am,GBP,Final GDP q/q,Medium,0.7%,0.6%,0.6%
2016-10-03,1:30am,GBP,Final Manufacturing PMI,High,55.4,52.1,53.4
2016-10-04,1:30am,GBP,Construction PMI,High,52.3,49.1,49.2
2016-10-05,1:30am,GBP,Final Services PMI,High,52.6,52.1,52.9
2016-10-07,12:30am,GBP,Halifax HPI m/m,Medium,0.1%,0.0%,-0.3%
2016-10-07,1:30am,GBP,Manufacturing Production m/m,High,0.2%,0.4%,-0.9%
2016-10-07,1:30am,GBP,Goods Trade Balance,Medium,-12.1B,-11.1B,-9.5B
2016-10-11,2:00am,GBP,MPC Member Saunders Speaks,Medium,,,
2016-10-12,2:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2016-10-14,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2016-10-14,4:45am,GBP,MPC Member Forbes Speaks,Medium,,,
2016-10-14,6:30am,GBP,BOE Gov Carney Speaks,High,,,
2016-10-17,7:45am,GBP,MPC Member Broadbent Speaks,Medium,,,
2016-10-18,1:30am,GBP,CPI y/y,High,1.0%,0.9%,0.6%
2016-10-18,1:30am,GBP,PPI Input m/m,Medium,0.0%,0.4%,0.2%
2016-10-18,1:30am,GBP,RPI y/y,Medium,2.0%,2.0%,1.8%
2016-10-19,1:30am,GBP,Average Earnings Index 3m/y,High,2.3%,2.3%,2.4%
2016-10-19,1:30am,GBP,Claimant Count Change,High,0.7K,3.4K,7.1K
2016-10-19,1:30am,GBP,Unemployment Rate,Medium,4.9%,4.9%,4.9%
2016-10-19,10:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2016-10-20,1:30am,GBP,Retail Sales m/m,High,0.0%,0.3%,0.0%
2016-10-20,6:00am,GBP,MPC Member Shafik Speaks,Medium,,,
2016-10-21,1:30am,GBP,Public Sector Net Borrowing,Medium,10.1B,8.6B,10.3B
2016-10-23,11:30pm,GBP,MPC Member Shafik Speaks,Medium,,,
2016-10-25,7:35am,GBP,BOE Gov Carney Speaks,High,,,
2016-10-27,1:30am,GBP,Prelim GDP q/q,High,0.5%,0.3%,0.7%
2016-10-31,2:30am,GBP,Net Lending to Individuals m/m,Medium,4.7B,4.6B,4.7B
2016-11-01,2:30am,GBP,Final Manufacturing PMI,High,54.3,54.6,55.5
2016-11-02,2:30am,GBP,Construction PMI,High,52.6,51.9,52.3
2016-11-03,2:30am,GBP,Final Services PMI,High,54.5,52.5,52.6
2016-11-03,3:00am,GBP,EU Membership Court Ruling,High,,,
2016-11-03,5:00am,GBP,BOE Monetary Policy Report,High,,,
2016-11-03,5:00am,GBP,Monetary Policy Summary,High,,,
2016-11-03,5:00am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2016-11-03,5:00am,GBP,Official Bank Rate,High,0.25%,0.25%,0.25%
2016-11-03,5:00am,GBP,Asset Purchase Facility,Medium,435B,435B,435B
2016-11-03,5:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
