datetime_utc,open,high,low,close,volume,session,date
2015-01-01 20:00:00,186.56,186.841,186.496,186.768,6515.129999999999,late_ny_early_sydney,2015-01-01
2015-01-02 00:00:00,186.764,187.238,186.669,187.157,9830.26,late_sydney_early_asian,2015-01-02
2015-01-02 04:00:00,187.157,187.314,187.058,187.157,16079.05,asian_early_london,2015-01-02
2015-01-02 08:00:00,187.157,187.264,185.846,186.003,58059.06,london,2015-01-02
2015-01-02 12:00:00,186.003,186.153,184.794,184.947,55361.91,london_ny_overlap,2015-01-02
2015-01-02 16:00:00,184.947,184.973,184.299,184.538,29394.050000000003,ny,2015-01-02
2015-01-02 20:00:00,184.539,184.792,184.431,184.618,8037.73,late_ny_early_sydney,2015-01-02
2015-01-04 20:00:00,184.373,184.415,182.769,184.008,10100.49,late_ny_early_sydney,2015-01-04
2015-01-05 00:00:00,184.008,184.385,183.694,184.371,25799.79,late_sydney_early_asian,2015-01-05
2015-01-05 04:00:00,184.368,184.426,183.854,184.056,22298.04,asian_early_london,2015-01-05
2015-01-05 08:00:00,184.043,184.372,183.414,183.459,51885.2,london,2015-01-05
2015-01-05 12:00:00,183.461,183.482,181.707,182.247,61753.41,london_ny_overlap,2015-01-05
2015-01-05 16:00:00,182.244,182.578,181.997,182.337,30011.38,ny,2015-01-05
2015-01-05 20:00:00,182.337,182.699,181.866,182.206,14424.07,late_ny_early_sydney,2015-01-05
2015-01-06 00:00:00,182.206,182.333,181.884,182.033,20521.23,late_sydney_early_asian,2015-01-06
2015-01-06 04:00:00,182.026,182.03,181.182,181.502,33425.06,asian_early_london,2015-01-06
2015-01-06 08:00:00,181.496,181.589,180.345,181.261,60656.310000000005,london,2015-01-06
2015-01-06 12:00:00,181.262,181.415,180.065,180.073,63726.2,london_ny_overlap,2015-01-06
2015-01-06 16:00:00,180.073,180.247,179.241,179.873,54830.22,ny,2015-01-06
2015-01-06 20:00:00,179.873,180.047,179.091,179.586,20026.82,late_ny_early_sydney,2015-01-06
2015-01-07 00:00:00,179.582,180.407,179.557,180.236,21168.59,late_sydney_early_asian,2015-01-07
2015-01-07 04:00:00,180.236,180.559,179.836,180.274,26133.25,asian_early_london,2015-01-07
2015-01-07 08:00:00,180.274,180.485,179.559,180.138,55302.74,london,2015-01-07
2015-01-07 12:00:00,180.142,180.722,179.852,179.923,62231.630000000005,london_ny_overlap,2015-01-07
2015-01-07 16:00:00,179.921,180.342,179.728,179.866,47187.22,ny,2015-01-07
2015-01-07 20:00:00,179.866,180.387,179.865,180.171,16610.43,late_ny_early_sydney,2015-01-07
2015-01-08 00:00:00,180.173,180.803,180.095,180.641,21517.41,late_sydney_early_asian,2015-01-08
2015-01-08 04:00:00,180.645,180.933,180.441,180.573,22048.03,asian_early_london,2015-01-08
2015-01-08 08:00:00,180.574,180.598,180.003,180.448,45944.26,london,2015-01-08
