datetime_utc,rolling_mae_none,rolling_mae_blind,rolling_mae_shap_guided,rolling_mae_monthly
2021-01-03 20:00:00,,,,
2021-01-04 00:00:00,,,,
2021-01-04 04:00:00,,,,
2021-01-04 08:00:00,,,,
2021-01-04 12:00:00,,,,
2021-01-04 16:00:00,,,,
2021-01-04 20:00:00,,,,
2021-01-05 00:00:00,,,,
2021-01-05 04:00:00,,,,
2021-01-05 08:00:00,,,,
2021-01-05 12:00:00,,,,
2021-01-05 16:00:00,,,,
2021-01-05 20:00:00,,,,
2021-01-06 00:00:00,,,,
2021-01-06 04:00:00,,,,
2021-01-06 08:00:00,,,,
2021-01-06 12:00:00,,,,
2021-01-06 16:00:00,,,,
2021-01-06 20:00:00,,,,
2021-01-07 00:00:00,,,,
2021-01-07 04:00:00,,,,
2021-01-07 08:00:00,,,,
2021-01-07 12:00:00,,,,
2021-01-07 16:00:00,,,,
2021-01-07 20:00:00,,,,
2021-01-08 00:00:00,,,,
2021-01-08 04:00:00,,,,
2021-01-08 08:00:00,,,,
2021-01-08 12:00:00,,,,
2021-01-08 16:00:00,0.0014650092030419344,0.0014650092030419344,0.0014650092030419344,0.0014650092030419344
2021-01-08 20:00:00,0.0015368045463330824,0.0015368045463330824,0.0015368045463330824,0.0015368045463330824
2021-01-10 20:00:00,0.0015630480179172573,0.0015630480179172573,0.0015630480179172573,0.0015630480179172573
2021-01-11 00:00:00,0.0015039450729729617,0.0015039450729729617,0.0015039450729729617,0.0015039450729729617
2021-01-11 04:00:00,0.0014788530489548816,0.0014788530489548816,0.0014788530489548816,0.0014788530489548816
2021-01-11 08:00:00,0.0014636168454542347,0.0014636168454542347,0.0014636168454542347,0.0014636168454542347
2021-01-11 12:00:00,0.0014963976779839227,0.0014963976779839227,0.0014963976779839227,0.0014963976779839227
2021-01-11 16:00:00,0.0014565060897948966,0.0014565060897948966,0.0014565060897948966,0.0014565060897948966
2021-01-11 20:00:00,0.0014405691482912994,0.0014405691482912994,0.0014405691482912994,0.0014405691482912994
2021-01-12 00:00:00,0.0014120307334215712,0.0014120307334215712,0.0014120307334215712,0.0014120307334215712
2021-01-12 04:00:00,0.001429424017061328,0.001429424017061328,0.001429424017061328,0.001429424017061328
2021-01-12 08:00:00,0.00137431087786512,0.00137431087786512,0.00137431087786512,0.00137431087786512
2021-01-12 12:00:00,0.001455400641930667,0.001455400641930667,0.001455400641930667,0.001455400641930667
2021-01-12 16:00:00,0.0014254873686416814,0.0014254873686416814,0.0014254873686416814,0.0014254873686416814
2021-01-12 20:00:00,0.0012707229653785132,0.0012707229653785132,0.0012707229653785132,0.0012707229653785132
2021-01-13 00:00:00,0.001295866027042925,0.001295866027042925,0.001295866027042925,0.001295866027042925
2021-01-13 04:00:00,0.0012600016711171516,0.0012600016711171516,0.0012600016711171516,0.0012600016711171516
2021-01-13 08:00:00,0.001208653579090089,0.001208653579090089,0.001208653579090089,0.001208653579090089
2021-01-13 12:00:00,0.0011318781962237979,0.0011318781962237979,0.0011318781962237979,0.0011318781962237979
2021-01-13 16:00:00,0.0011352564019837695,0.0011352564019837695,0.0011352564019837695,0.0011352564019837695
2021-01-13 20:00:00,0.00114989467942504,0.00114989467942504,0.00114989467942504,0.00114989467942504
2021-01-14 00:00:00,0.0010215845754455114,0.0010215845754455114,0.0010215845754455114,0.0010215845754455114
2021-01-14 04:00:00,0.001031050440148956,0.001031050440148956,0.001031050440148956,0.001031050440148956
2021-01-14 08:00:00,0.0010371488423308798,0.0010371488423308798,0.0010371488423308798,0.0010371488423308798
2021-01-14 12:00:00,0.0010712836041098823,0.0010712836041098823,0.0010712836041098823,0.0010712836041098823
2021-01-14 16:00:00,0.0010591459688193182,0.0010591459688193182,0.0010591459688193182,0.0010591459688193182
2021-01-14 20:00:00,0.0010272109483628691,0.0010272109483628691,0.0010272109483628691,0.0010272109483628691
2021-01-15 00:00:00,0.0010127171227605268,0.0010127171227605268,0.0010127171227605268,0.0010127171227605268
2021-01-15 04:00:00,0.0010188453229379559,0.0010188453229379559,0.0010188453229379559,0.0010188453229379559
2021-01-15 08:00:00,0.0009955632737317028,0.0009955632737317028,0.0009955632737317028,0.0009955632737317028
2021-01-15 12:00:00,0.0010327877781360483,0.0010327877781360483,0.0010327877781360483,0.0010327877781360483
2021-01-15 16:00:00,0.0009533277011804324,0.0009533277011804324,0.0009533277011804324,0.0009533277011804324
2021-01-15 20:00:00,0.0009332169798708326,0.0009332169798708326,0.0009332169798708326,0.0009332169798708326
2021-01-17 20:00:00,0.0009296560190985574,0.0009296560190985574,0.0009296560190985574,0.0009296560190985574
2021-01-18 00:00:00,0.0009227514915528403,0.0009227514915528403,0.0009227514915528403,0.0009227514915528403
2021-01-18 04:00:00,0.0008957203299641848,0.0008957203299641848,0.0008957203299641848,0.0008957203299641848
2021-01-18 08:00:00,0.0008787218911666343,0.0008787218911666343,0.0008787218911666343,0.0008787218911666343
2021-01-18 12:00:00,0.0008773632426393334,0.0008773632426393334,0.0008773632426393334,0.0008773632426393334
2021-01-18 16:00:00,0.0008526678449806793,0.0008526678449806793,0.0008526678449806793,0.0008526678449806793
2021-01-18 20:00:00,0.0008748555444525084,0.0008748555444525084,0.0008748555444525084,0.0008748555444525084
2021-01-19 00:00:00,0.0008260164969274283,0.0008260164969274283,0.0008260164969274283,0.0008260164969274283
2021-01-19 04:00:00,0.0008653043030465502,0.0008653043030465502,0.0008653043030465502,0.0008653043030465502
2021-01-19 08:00:00,0.0007738205201317346,0.0007738205201317346,0.0007738205201317346,0.0007738205201317346
2021-01-19 12:00:00,0.0007893971207745186,0.0007893971207745186,0.0007893971207745186,0.0007893971207745186
2021-01-19 16:00:00,0.000808607444000181,0.000808607444000181,0.000808607444000181,0.000808607444000181
2021-01-19 20:00:00,0.0007771720074454914,0.0007771720074454914,0.0007771720074454914,0.0007771720074454914
2021-01-20 00:00:00,0.0007109419321397981,0.0007109419321397981,0.0007109419321397981,0.0007109419321397981
2021-01-20 04:00:00,0.0008191378670475979,0.0008191378670475979,0.0008191378670475979,0.0008191378670475979
2021-01-20 08:00:00,0.0008374528329128547,0.0008374528329128547,0.0008374528329128547,0.0008374528329128547
2021-01-20 12:00:00,0.0008129392400342434,0.0008129392400342434,0.0008129392400342434,0.0008129392400342434
2021-01-20 16:00:00,0.0007825889501764172,0.0007825889501764172,0.0007825889501764172,0.0007825889501764172
2021-01-20 20:00:00,0.0008120777602544946,0.0008120777602544946,0.0008120777602544946,0.0008120777602544946
2021-01-21 00:00:00,0.0008423561920986662,0.0008423561920986662,0.0008423561920986662,0.0008423561920986662
2021-01-21 04:00:00,0.0008385685623177755,0.0008385685623177755,0.0008385685623177755,0.0008385685623177755
2021-01-21 08:00:00,0.0008018950661657868,0.0008018950661657868,0.0008018950661657868,0.0008018950661657868
2021-01-21 12:00:00,0.0008049022738161244,0.0008049022738161244,0.0008049022738161244,0.0008049022738161244
2021-01-21 16:00:00,0.0007983051027675724,0.0007983051027675724,0.0007983051027675724,0.0007983051027675724
2021-01-21 20:00:00,0.0007876984741771305,0.0007876984741771305,0.0007876984741771305,0.0007876984741771305
2021-01-22 00:00:00,0.0008049576394369983,0.0008049576394369983,0.0008049576394369983,0.0008049576394369983
2021-01-22 04:00:00,0.0008046772657763015,0.0008046772657763015,0.0008046772657763015,0.0008046772657763015
2021-01-22 08:00:00,0.0007655139257391459,0.0007655139257391459,0.0007655139257391459,0.0007655139257391459
2021-01-22 12:00:00,0.0007588722953569671,0.0007588722953569671,0.0007588722953569671,0.0007588722953569671
2021-01-22 16:00:00,0.0007351430718021507,0.0007351430718021507,0.0007351430718021507,0.0007351430718021507
2021-01-22 20:00:00,0.0007262622428647565,0.0007262622428647565,0.0007262622428647565,0.0007262622428647565
2021-01-24 20:00:00,0.0007192593826442066,0.0007192593826442066,0.0007192593826442066,0.0007192593826442066
2021-01-25 00:00:00,0.0007291338412675333,0.0007291338412675333,0.0007291338412675333,0.0007291338412675333
2021-01-25 04:00:00,0.0007776051243624027,0.0007776051243624027,0.0007776051243624027,0.0007776051243624027
2021-01-25 08:00:00,0.0008284755362822002,0.0008284755362822002,0.0008284755362822002,0.0008284755362822002
2021-01-25 12:00:00,0.0008576231135412877,0.0008576231135412877,0.0008576231135412877,0.0008576231135412877
2021-01-25 16:00:00,0.0008281543812737671,0.0008281543812737671,0.0008281543812737671,0.0008281543812737671
2021-01-25 20:00:00,0.0008416577111777123,0.0008416577111777123,0.0008416577111777123,0.0008416577111777123
2021-01-26 00:00:00,0.000892789374847386,0.000892789374847386,0.000892789374847386,0.000892789374847386
2021-01-26 04:00:00,0.0009320696675744199,0.0009320696675744199,0.0009320696675744199,0.0009320696675744199
2021-01-26 08:00:00,0.0009700810420165335,0.0009700810420165335,0.0009700810420165335,0.0009700810420165335
2021-01-26 12:00:00,0.000964604308973497,0.000964604308973497,0.000964604308973497,0.000964604308973497
2021-01-26 16:00:00,0.0009791662585330034,0.0009791662585330034,0.0009791662585330034,0.0009791662585330034
2021-01-26 20:00:00,0.000979020982135261,0.000979020982135261,0.000979020982135261,0.000979020982135261
2021-01-27 00:00:00,0.0008653432074061066,0.0008653432074061066,0.0008653432074061066,0.0008653432074061066
2021-01-27 04:00:00,0.0009494911383741318,0.0009494911383741318,0.0009494911383741318,0.0009494911383741318
2021-01-27 08:00:00,0.0010113870871015758,0.0010113870871015758,0.0010113870871015758,0.0010113870871015758
2021-01-27 12:00:00,0.0010267197829855672,0.0010267197829855672,0.0010267197829855672,0.0010267197829855672
