month,error_none,error_blind,error_shap,error_oracle,dir_correct_none,dir_correct_blind,dir_correct_shap,dir_correct_oracle
2015-09,0.002414048077168011,0.002414048077168011,0.002414048077168011,0.002414048077168011,0.5055555555555555,0.5055555555555555,0.5055555555555555,0.5055555555555555
2015-10,0.0022856366718693294,0.002312604731548142,0.002312604731548142,0.0022856366718693294,0.55,0.5388888888888889,0.5388888888888889,0.55
2015-12,0.0022562856715145777,0.0022245934264470994,0.0022245934264470994,0.0022562856715145777,0.5444444444444444,0.5777777777777777,0.5777777777777777,0.5444444444444444
2016-01,0.0037325513496636047,0.0037144422260317086,0.0037144422260317086,0.0037325513496636047,0.5222222222222223,0.5388888888888889,0.5388888888888889,0.5222222222222223
2016-03,0.0029964770936879524,0.0029443594356017293,0.0029443594356017293,0.0029964770936879524,0.55,0.5833333333333334,0.5833333333333334,0.55
2016-04,0.0025424027572385553,0.0024953448807997713,0.0024953448807997713,0.0025424027572385553,0.5333333333333333,0.5722222222222222,0.5722222222222222,0.5333333333333333
2016-05,0.0032844382624352105,0.0032713213055939726,0.0032713213055939726,0.0032844382624352105,0.48333333333333334,0.5833333333333334,0.5833333333333334,0.48333333333333334
2016-07,0.0024133358207285337,0.002494730369146081,0.002494730369146081,0.0024133358207285337,0.5166666666666667,0.5111111111111111,0.5111111111111111,0.5166666666666667
2016-08,0.0017110178905865186,0.0016979364209279838,0.0016979364209279838,0.0017110178905865186,0.4777777777777778,0.5777777777777777,0.5777777777777777,0.4777777777777778
2016-09,0.0018012297616962162,0.001829456402353173,0.001829456402353173,0.0018012297616962162,0.5388888888888889,0.5388888888888889,0.5388888888888889,0.5388888888888889
2016-11,0.003132356915903635,0.003060470173671208,0.003060470173671208,0.003132356915903635,0.5444444444444444,0.6111111111111112,0.6111111111111112,0.5444444444444444
2016-12,0.002396794413915836,0.002432734741150011,0.002432734741150011,0.002432734741150011,0.55,0.5277777777777778,0.5277777777777778,0.5277777777777778
2017-01,0.0020361084593344416,0.0020526603384347225,0.0020526603384347225,0.0020733272788757604,0.5611111111111111,0.5388888888888889,0.5388888888888889,0.5388888888888889
2017-03,0.0018913035579214048,0.0018356568871648576,0.0018356568871648576,0.0018689987608597812,0.46111111111111114,0.5777777777777777,0.5777777777777777,0.5222222222222223
2017-04,0.0015520914522929963,0.001519450134115856,0.001519450134115856,0.0015836723241521395,0.5388888888888889,0.5722222222222222,0.5722222222222222,0.5333333333333333
2017-05,0.0015750977330787142,0.0015784588251530707,0.0015784588251530707,0.0015322677288404146,0.5166666666666667,0.5722222222222222,0.5722222222222222,0.5722222222222222
2017-07,0.0016319059836390553,0.0016156735310515903,0.0016156735310515903,0.0015983989035045264,0.55,0.6,0.6,0.5888888888888889
2017-08,0.0019333442280511266,0.001905770628217667,0.001905770628217667,0.0019262046246648389,0.5722222222222222,0.5944444444444444,0.5944444444444444,0.5888888888888889
2017-09,0.0015561506175169814,0.0015668708698087191,0.0015668708698087191,0.0015994010830141289,0.5166666666666667,0.5611111111111111,0.5611111111111111,0.5
2017-11,0.0015736823295044336,0.0015805260546962465,0.0015805260546962465,0.00159125130660982,0.5166666666666667,0.5111111111111111,0.5111111111111111,0.5333333333333333
2017-12,0.0016122311508068542,0.0015390652740993281,0.0015390652740993281,0.001602885058284734,0.5388888888888889,0.6722222222222223,0.6722222222222223,0.5611111111111111
2018-01,0.001897343141104301,0.0018892825211843376,0.0018892825211843376,0.0019274589471930926,0.5722222222222222,0.5722222222222222,0.5722222222222222,0.5666666666666667
2018-03,0.0019150948238027426,0.0019032927822414127,0.0019032927822414127,0.0018791267887155346,0.5222222222222223,0.5722222222222222,0.5722222222222222,0.5666666666666667
2018-04,0.0015158390955939505,0.0015417495228039065,0.0015417495228039065,0.0015384373574563873,0.5,0.5222222222222223,0.5222222222222223,0.5277777777777778
2018-06,0.0014679339721353497,0.0014704589889310243,0.0014704589889310243,0.0014676497047033373,0.5222222222222223,0.5555555555555556,0.5555555555555556,0.5444444444444444
2018-07,0.0018074204813157385,0.001809878918397425,0.001809878918397425,0.0018052431536105472,0.6,0.5611111111111111,0.5611111111111111,0.6166666666666667
2018-08,0.001648476615913915,0.0016382768309414412,0.0016382768309414412,0.001707407720597572,0.5722222222222222,0.5888888888888889,0.5888888888888889,0.5111111111111111
2018-10,0.001789297361696321,0.0017620280465569938,0.0017620280465569938,0.0017790586993859708,0.4777777777777778,0.5055555555555555,0.5055555555555555,0.5111111111111111
2018-11,0.001570305249529687,0.0015259300201032654,0.0015259300201032654,0.0015522535406335945,0.5,0.55,0.55,0.5555555555555556
2018-12,0.0015397483175029819,0.0015080998260753706,0.0015080998260753706,0.0015362674729714997,0.5222222222222223,0.5444444444444444,0.5444444444444444,0.5555555555555556
2019-02,0.001516194448701175,0.00150358418257498,0.00150358418257498,0.0015121234666682,0.55,0.5666666666666667,0.5666666666666667,0.5388888888888889
2019-03,0.0013935682805033976,0.0013729709656725947,0.0013729709656725947,0.0014055497948020183,0.4777777777777778,0.5888888888888889,0.5888888888888889,0.5111111111111111
2019-04,0.0015288835746888375,0.0014794839846613832,0.0014794839846613832,0.0015503217956451829,0.5111111111111111,0.5388888888888889,0.5388888888888889,0.5111111111111111
2019-06,0.0027759319874412296,0.0027358345041689045,0.0027358345041689045,0.0027387820998227316,0.5222222222222223,0.5833333333333334,0.5833333333333334,0.5555555555555556
2019-07,0.0029238813130171852,0.0029191977678710845,0.0029191977678710845,0.00298146798337631,0.4888888888888889,0.5222222222222223,0.5222222222222223,0.5277777777777778
2019-08,0.002658892483315265,0.002672019108342658,0.002672019108342658,0.0027009911833645516,0.5222222222222223,0.5388888888888889,0.5388888888888889,0.4722222222222222
2019-10,0.0018486125000244543,0.0018709617432827593,0.0018709617432827593,0.0018709617432827593,0.5,0.5222222222222223,0.5222222222222223,0.5222222222222223
2019-11,0.0014218720970928874,0.0013575825438860432,0.0013575825438860432,0.0013522837690535519,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.49444444444444446
2019-12,0.0022355348353740616,0.002208527856410429,0.002208527856410429,0.0022244841038146514,0.46111111111111114,0.5111111111111111,0.5111111111111111,0.5277777777777778
2020-02,0.0053996691588037654,0.0053403142073464435,0.0053403142073464435,0.0053952590609214444,0.4666666666666667,0.5611111111111111,0.5611111111111111,0.5055555555555555
2020-03,0.004021594341877325,0.004155109862330777,0.004155109862330777,0.003991263709816627,0.46111111111111114,0.4888888888888889,0.4888888888888889,0.5444444444444444
2020-05,0.0025137089539992597,0.002584590902924779,0.002584590902924779,0.002584590902924779,0.4388888888888889,0.48333333333333334,0.48333333333333334,0.48333333333333334
2020-06,0.001985444703065382,0.002013307854389889,0.002013307854389889,0.002041784950078246,0.4777777777777778,0.45,0.45,0.4388888888888889
2020-07,0.004267906488755166,0.00427690953948838,0.00427690953948838,0.004374927842204444,0.49444444444444446,0.5,0.5,0.4777777777777778
2020-09,0.0027484742387754724,0.002699785666250071,0.002699785666250071,0.0027856066903093426,0.49444444444444446,0.5833333333333334,0.5833333333333334,0.5166666666666667
2020-10,0.0026270015839182756,0.002604817046315083,0.002604817046315083,0.0026909899086020356,0.4722222222222222,0.4888888888888889,0.4888888888888889,0.48333333333333334
2020-11,0.0024990791763282076,0.0025266289618941814,0.0025266289618941814,0.002591513604574589,0.5166666666666667,0.5555555555555556,0.5555555555555556,0.4666666666666667
2021-01,0.002860701271022972,0.002838112742076017,0.002838112742076017,0.0028820330630274626,0.5277777777777778,0.5611111111111111,0.5611111111111111,0.5555555555555556
2021-02,0.0027024064055436708,0.0026800290362070213,0.0026800290362070213,0.0026857391452967103,0.5111111111111111,0.5722222222222222,0.5722222222222222,0.55
2021-03,0.0019970798535943485,0.0019858874093918472,0.0019858874093918472,0.0019858874093918472,0.6055555555555555,0.5833333333333334,0.5833333333333334,0.5833333333333334
2021-05,0.0022002307019802925,0.002191684472627059,0.002191684472627059,0.002256739763012754,0.5611111111111111,0.5222222222222223,0.5222222222222223,0.49444444444444446
2021-06,0.0021884096490101305,0.0021660960679534794,0.0021660960679534794,0.0021450751290528584,0.4666666666666667,0.5,0.5,0.5388888888888889
2021-07,0.002017689817235339,0.00202597952130262,0.00202597952130262,0.0020686832084620362,0.5611111111111111,0.5277777777777778,0.5277777777777778,0.5388888888888889
