datetime_utc,actual,predicted
2021-01-08 20:00:00,-0.0020811380279483,0.0001273977989890207
2021-01-10 20:00:00,-0.0076457132209008,-0.0016013262540762049
2021-01-11 00:00:00,0.0084043707586502,0.0017900154678658785
2021-01-11 04:00:00,0.0017767978105317,0.0006039249077375447
2021-01-11 08:00:00,-0.0002612072386021,0.0002539963740104799
2021-01-11 12:00:00,-0.0011673427882189,-0.00017652546100397292
2021-01-11 16:00:00,0.000252850457087,-8.41427772266381e-06
2021-01-11 20:00:00,0.0013703438255316,-0.00032172766374864546
2021-01-12 00:00:00,0.0052287552807868,-0.003385481551492516
2021-01-12 04:00:00,0.0003296210221587,-0.003775408366904515
2021-01-12 08:00:00,-0.0099090525347129,-0.0033551272486879607
2021-01-12 12:00:00,0.0067373921112925,-0.0033879489447647113
2021-01-12 16:00:00,0.0024870241345662,-0.003566686164850018
2021-01-12 20:00:00,0.0002743410452925,-0.003166237768869114
2021-01-13 00:00:00,-0.0009901337220268,-0.00222692509164739
2021-01-13 04:00:00,-0.0026982421200887,-0.002247955804426515
2021-01-13 08:00:00,0.0029727795800267,-0.002911691818679349
2021-01-13 12:00:00,-0.0024088086702944,-0.0030641356234868957
2021-01-13 16:00:00,-0.0028041037143521,-0.0016341181798619879
2021-01-13 20:00:00,-0.0049628835544641,-0.0016460709095852907
2021-01-14 00:00:00,0.0016461758660069,-0.002021926630110568
2021-01-14 04:00:00,5.971121486956929e-05,-0.0034378790439296737
2021-01-14 08:00:00,0.0029539637085567,-0.002968287518047774
2021-01-14 12:00:00,-0.0018851933978415,-0.0033804240189806278
2021-01-14 16:00:00,0.0013725343073374,-0.002904019725474149
2021-01-14 20:00:00,0.0027885694906184,-0.0034861053281499063
2021-01-15 00:00:00,0.0002391832362852,-0.0025146847807346966
2021-01-15 04:00:00,-0.0018101430200213,-0.0025351596265650316
2021-01-15 08:00:00,-0.010701139408333,-0.003123892267503692
2021-01-15 12:00:00,-0.0004986683144403,-0.0010081835718411425
2021-01-15 16:00:00,-0.0005125970702735,-0.0010889998954223743
2021-01-15 20:00:00,-0.0094304870954681,-0.0021839077888780685
2021-01-17 20:00:00,0.0097352322868055,-0.0008607163896716238
2021-01-18 00:00:00,0.0036529870586408,-0.003661260789076878
2021-01-18 04:00:00,-0.0005560962189741,-0.0030599195063895435
