datetime_utc,actual,predicted
2021-01-08 20:00:00,-0.0020811380279483,0.0006839186
2021-01-10 20:00:00,-0.0076457132209008,0.0005835593
2021-01-11 00:00:00,0.0084043707586502,0.0004121065
2021-01-11 04:00:00,0.0017767978105317,0.0003401786
2021-01-11 08:00:00,-0.0002612072386021,0.000323534
2021-01-11 12:00:00,-0.0011673427882189,0.00032423437
2021-01-11 16:00:00,0.000252850457087,0.00038696826
2021-01-11 20:00:00,0.0013703438255316,0.000401482
2021-01-12 00:00:00,0.0052287552807868,0.00028057396
2021-01-12 04:00:00,0.0003296210221587,0.00020205975
2021-01-12 08:00:00,-0.0099090525347129,0.00015293062
2021-01-12 12:00:00,0.0067373921112925,0.00014840066
2021-01-12 16:00:00,0.0024870241345662,0.00022055209
2021-01-12 20:00:00,0.0002743410452925,0.0002503395
2021-01-13 00:00:00,-0.0009901337220268,0.00015974045
2021-01-13 04:00:00,-0.0026982421200887,8.08239e-05
2021-01-13 08:00:00,0.0029727795800267,7.408857e-05
2021-01-13 12:00:00,-0.0024088086702944,6.389618e-05
2021-01-13 16:00:00,-0.0028041037143521,0.00013653934
2021-01-13 20:00:00,-0.0049628835544641,0.00018115342
2021-01-14 00:00:00,0.0016461758660069,9.907782e-05
2021-01-14 04:00:00,5.971121486956929e-05,7.042289e-05
2021-01-14 08:00:00,0.0029539637085567,6.745756e-05
2021-01-14 12:00:00,-0.0018851933978415,6.137788e-05
2021-01-14 16:00:00,0.0013725343073374,4.3660402e-05
2021-01-14 20:00:00,0.0027885694906184,6.900728e-05
2021-01-15 00:00:00,0.0002391832362852,4.208088e-05
2021-01-15 04:00:00,-0.0018101430200213,2.9399991e-05
2021-01-15 08:00:00,-0.010701139408333,1.8432736e-05
2021-01-15 12:00:00,-0.0004986683144403,1.2010336e-05
2021-01-15 16:00:00,-0.0005125970702735,1.1131167e-05
2021-01-15 20:00:00,-0.0094304870954681,3.2618642e-05
2021-01-17 20:00:00,0.0097352322868055,3.1784177e-05
2021-01-18 00:00:00,0.0036529870586408,6.531179e-05
2021-01-18 04:00:00,-0.0005560962189741,4.403293e-05
2021-01-18 08:00:00,0.0017000273810181,1.23381615e-05
2021-01-18 12:00:00,0.0002792472752752,-1.5094876e-05
2021-01-18 16:00:00,-8.32761150704396e-05,-3.5881996e-05
2021-01-18 20:00:00,7.620063631219693e-05,-3.8549304e-05
2021-01-19 00:00:00,0.0002448912966988,-1.79708e-05
2021-01-19 04:00:00,0.0026789999937872,-1.1220574e-05
2021-01-19 08:00:00,-0.0019028188691068,-6.4074993e-06
2021-01-19 12:00:00,1.631140871441317e-06,-9.864569e-06
2021-01-19 16:00:00,0.0008586980383567,-4.631281e-05
2021-01-19 20:00:00,0.0042986920782612,-5.5998564e-05
2021-01-20 00:00:00,0.0038126731301967,-4.0337443e-05
2021-01-20 04:00:00,-0.0039425014594614,-3.321469e-05
2021-01-20 08:00:00,0.009789227097917,-2.2917986e-05
2021-01-20 12:00:00,0.0007475807063224,-2.5346875e-05
2021-01-20 16:00:00,0.0009417128632442,9.0897083e-07
2021-01-20 20:00:00,0.0012880676493068,0.00011333823
2021-01-21 00:00:00,-0.0026152824327878,5.622208e-05
